name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
Bon Jovi @ Madison Square Garden,Bon Jovi at Madison Square Garden at 2026-07-26T19:30:00-0400,Madison Square Garden,40.74971,-73.99156,"7th Ave & 32nd St, New York (NYC)",2026-07-26T19:30:00,,new york (nyc),Music,Bon Jovi,https://images.sk-static.com/images/media/profile_images/artists/263609/huge_avatar,,https://www.songkick.com/concerts/42867191-bon-jovi-at-madison-square-garden?utm_medium=organic&utm_source=microformat,true
John Mellencamp @ Northwell at Jones Beach Theater,John Mellencamp at Northwell at Jones Beach Theater at 2026-07-26T20:00:00-0400,Northwell at Jones Beach Theater,40.60114,-73.50252,"1000 Ocean Pkwy., Wantagh",2026-07-26T20:00:00,,wantagh,Music,John Mellencamp,https://images.sk-static.com/images/media/profile_images/artists/376016/huge_avatar,,https://www.songkick.com/concerts/42988441-john-mellencamp-at-northwell-at-jones-beach-theater?utm_medium=organic&utm_source=microformat,true
Darude @ Pier 83,Darude at Pier 83 at 2026-07-26T16:00:00-0400,Pier 83,40.76202,-74.00102,"W 42nd St & 12th Ave, New York (NYC)",2026-07-26T16:00:00,,new york (nyc),Music,Darude,https://images.sk-static.com/images/media/profile_images/artists/406866/huge_avatar,,https://www.songkick.com/concerts/43193856-darude-at-pier-83?utm_medium=organic&utm_source=microformat,true
TEED @ Refuge - Scholes,TEED at Refuge - Scholes at 2026-07-26T15:00:00-0400,Refuge - Scholes,40.70963,-73.93547,"319 Scholes St., Brooklyn",2026-07-26T15:00:00,,brooklyn,Music,TEED,https://images.sk-static.com/images/media/profile_images/artists/8488103/huge_avatar,,https://www.songkick.com/concerts/43216923-teed-at-refuge-scholes?utm_medium=organic&utm_source=microformat,true
Shabba Ranks @ Paradise Coney Island,Shabba Ranks and Super Cat at Paradise Coney Island at 2026-07-26T15:00:00-0400,Paradise Coney Island,40.57421,-73.98161,"3027 West 15th Street, New York (NYC)",2026-07-26T15:00:00,,new york (nyc),Music,"Shabba Ranks,Super Cat",https://images.sk-static.com/images/media/profile_images/artists/132652/huge_avatar,,https://www.songkick.com/concerts/43201068-shabba-ranks-at-paradise-coney-island?utm_medium=organic&utm_source=microformat,true
John Waite @ The Vogel at Count Basie Center for the Arts,John Waite at The Vogel at Count Basie Center for the Arts at 2026-07-26T19:00:00-0400,The Vogel at Count Basie Center for the Arts,40.34888,-74.07015,"99 Monmouth St., Red Bank",2026-07-26T19:00:00,,red bank,Music,John Waite,https://images.sk-static.com/images/media/profile_images/artists/401781/huge_avatar,,https://www.songkick.com/concerts/43052777-john-waite-at-vogel-at-count-basie-center-for-the-arts?utm_medium=organic&utm_source=microformat,true
Los Mirlos @ Xanadu Roller Arts,Los Mirlos at Xanadu Roller Arts at 2026-07-26T16:00:00-0400,Xanadu Roller Arts,40.70646,-73.92142,"262 Starr St, Brooklyn",2026-07-26T16:00:00,,brooklyn,Music,"Los Mirlos,Alea,Erni Lu",https://images.sk-static.com/images/media/profile_images/artists/8704203/huge_avatar,,https://www.songkick.com/concerts/43254986-los-mirlos-at-xanadu-roller-arts?utm_medium=organic&utm_source=microformat,true
Eclectic Charango Beats @ Xanadu Roller Arts,"Eclectic Charango Beats, Los Mirlos, Erni Lu, and Claudia Acuna at Xanadu Roller Arts at 2026-07-26T19:00:00-0400",Xanadu Roller Arts,40.70646,-73.92142,"262 Starr St, Brooklyn",2026-07-26T19:00:00,,brooklyn,Music,"Eclectic Charango Beats,Los Mirlos,Erni Lu,Claudia Acuna,Ivan Cantor Su Mero Estilo",https://images.sk-static.com/images/media/profile_images/artists/10188154/huge_avatar,,https://www.songkick.com/concerts/43319171-eclectic-charango-beats-at-xanadu-roller-arts?utm_medium=organic&utm_source=microformat,true
Christian McBride @ Blue Note Jazz Club,Christian McBride at Blue Note Jazz Club at 2026-07-26T22:30:00-0400,Blue Note Jazz Club,40.73091,-74.00066,"131 W. Third St., New York (NYC)",2026-07-26T22:30:00,,new york (nyc),Music,Christian McBride,https://images.sk-static.com/images/media/profile_images/artists/421467/huge_avatar,,https://www.songkick.com/concerts/43116490-christian-mcbride-at-blue-note-jazz-club?utm_medium=organic&utm_source=microformat,true
